disease
0,fever
1,headache
2,fatigue
3,nausea
4,vomiting
5,diarrhea
6,cough
7,sorethroat
8,shortnessofbreath
9,chestpain
10,muscleaches
11,jointpain
12,dizziness
13,vertigo
14,fainting
15,rapidheartbeat
16,irregularheartbeat
17,highbloodpressure
18,lowbloodpressure
19,swelling
20,rash
21,itching
22,hives
23,bruising
24,bleeding
25,paleskin
26,jaundiceyellowingofskineyes
27,darkurine
28,lightcoloredstools
29,abdominalpain
30,bloating
31,gas
32,constipation
34,bloodinstool
35,bloodinurine
36,painfulurination
37,frequenturination
38,decreasedurination
39,difficultyswallowing
40,heartburn
41,acidreflux
42,belching
45,bloodinvomit
46,changesinappetite
47,unexplainedweightloss
48,excessivethirst
49,increasedhunger
50,excessiveurination
52,weakness
54,musclepain
55,stiffness
57,redness
58,warmthinjoints
59,bonepain
60,backpain
61,neckpain
63,visionchanges
64,eyepain
65,eyedischarge
66,hearingloss
67,earpain
68,ringintheearstinnitus
69,balanceproblems
70,lossofcoordination
71,memoryproblems
72,confusion
73,difficultyconcentrating
74,moodswings
75,depression
76,anxiety
77,panicattacks
78,hallucinations
79,delusions
80,paranoia
81,numbness
82,tingling
83,weaknessinlimbs
84,lossofsensation
85,difficultyspeaking
86,slurredspeech
88,lossofbalance
89,seizures
90,tremors
91,musclespasms
92,difficultywalking
93,lossofconsciousness
94,memoryloss
95,troublesleeping
97,daytimesleepiness
98,snoring
99,gaspingforbreathduringsleep
100,insomnia
101,restlesslegs
102,nightmares
103,changesinbowelhabits
107,indigestion
113,appetitechanges
118,swellinginlegsankles
120,wheezing
121,difficultybreathing
122,coughingupblood
125,chills
126,sweating
127,swollenlymphnodes
129,weightloss
130,nightsweats
131,drycough
142,changesinurinehabits
146,erectiledysfunction
147,irregularmenstrualperiods
148,pelvicpain
149,vaginalbleeding
150,breastlumps
151,nippledischarge
152,changesinbreastappearance
153,covid19
154,influenza
155,diabetes
156,hypertension
157,asthma
158,arthritis
159,alzheimersdisease
160,heartdisease
161,stroke
162,cancer
163,chronicobstructivepulmonarydiseasecopd
164,parkinsonsdisease
165,hivaids
166,tuberculosis
167,malaria
168,hepatitisb
169,hepatitisc
170,lymedisease
171,pneumonia
172,bronchitis
173,osteoporosis
174,multiplesclerosis
175,fibromyalgia
176,irritablebowelsyndromeibs
177,crohnsdisease
178,ulcerativecolitis
179,kidneydisease
180,liverdisease
181,cysticfibrosis
182,epilepsy
183,migraine
184,chronickidneydisease
185,schizophrenia
186,bipolardisorder
188,anxietydisorders
189,autism
190,attentiondeficithyperactivitydisorderadhd
191,anorexia
192,bulimia
193,obsessivecompulsivedisorderocd
194,posttraumaticstressdisorderptsd
195,rheumatoidarthritis
196,psoriasis
197,eczema
198,allergies
199,acne
200,glaucoma
201,maculardegeneration
202,cataracts
203,sleepapnea
205,restlesslegssyndrome
206,gastroesophagealrefluxdiseasegerd
207,chronicsinusitis
208,tinnitus
209,menopause
211,prematureejaculation
212,endometriosis
213,polycysticovarysyndromepcos
214,fibroids
215,urinarytractinfectionuti
216,chlamydia
217,gonorrhea
218,syphilis
219,hpvhumanpapillomavirus
220,herpes
221,candidiasisyeastinfection
222,cholera
223,typhoid
224,measles
225,chickenpox
226,rubella
227,whoopingcoughpertussis
228,denguefever
229,zikavirus
230,westnilevirus
231,ebola
232,sarssevereacuterespiratorysyndrome
233,mrsamethicillinresistantstaphylococcusaureus
234,celiacdisease
235,gout
236,diverticulitis
237,gallstones
238,pancreatitis
239,appendicitis
240,hemorrhoids
241,varicoseveins
242,deepveinthrombosisdvt
243,osteoarthritis
244,temporomandibularjointdisordertmj
245,tonsillitis
246,strepthroat
247,inguinalhernia
248,meningitis
249,epiglottitis
250,shingles
251,cellulitis
252,impetigo
253,ringworm
254,athletesfoot
255,scabies
256,headlice
257,pinkeyeconjunctivitis
258,hypothyroidism
259,hyperthyroidism
260,anemia
261,leukemia
262,lymphoma
263,sicklecelldisease
264,hemophilia
265,thalassemia
266,polio
267,musculardystrophy
271,psoriaticarthritis
272,systemiclupuserythematosussle
273,scleroderma
276,diverticulosis
278,cirrhosis
281,pepticulcers
284,gastroenteritis
285,hepatitisa
286,hepatitise
290,emphysema
291,pulmonaryembolism
294,atherosclerosis
295,peripheralarterydisease
297,clusterheadache
298,trigeminalneuralgia
299,tensionheadache
301,chronicfatiguesyndrome
302,myastheniagravis
303,bellspalsy
304,carpaltunnelsyndrome
305,polycystickidneydisease
308,uterinefibroids
309,ovariancysts
310,prostatecancer
311,testicularcancer
314,benignprostatichyperplasiabph
315,interstitialcystitis
316,ovariancancer
317,bladdercancer
318,kidneystones
319,hypoglycemia
320,addisonsdisease
321,cushingssyndrome
322,raynaudsdisease
323,hypertrophiccardiomyopathy
324,dilatedcardiomyopathy
325,arrhythmia
326,atrialfibrillation
327,aorticaneurysm
328,peripheralneuropathy
331,otitismediaearinfection
332,menieresdisease
336,retinaldetachment
337,keratoconus
338,plantarfasciitis
339,osteomyelitis
341,bursitis
342,tendinitis
343,impingementsyndrome
344,tenniselbow
345,golferselbow
346,meniscustear
347,aclinjury
348,rotatorcufftear
349,patellofemoralpainsyndrome
350,whiplash
351,plantarwarts
353,jockitch
359,ecoliinfection
360,salmonellainfection
361,foodpoisoning
366,yellowfever
367,chikungunya
368,chagasdisease
369,leishmaniasis
372,tetanus
373,rabies
374,botulism
375,anthrax
377,giardiasis
378,norovirus
382,mumps
383,pertussiswhoopingcough
385,smallpox
387,scarletfever
388,fifthdisease
389,roseola
390,thrush
391,mononucleosis
395,obesity
396,malnutrition
397,bulimianervosa
398,anorexianervosa
399,bingeeatingdisorder
402,restlesslegsyndrome
403,narcolepsy
404,nightterrors
405,borderlinepersonalitydisorder
